Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,WinningTeam
2014/01/20,Algeria,DR Congo,27,20,W,AfricanChampionship,2014,Algeria,Algeria
2014/01/20,Cameroon,Senegal,21,24,W,AfricanChampionship,2014,Algeria,Senegal
2014/01/16,Tunisia,Guinea,32,16,W,AfricanChampionship,2014,Algeria,Tunisia
2014/01/16,Angola,Congo,33,18,W,AfricanChampionship,2014,Algeria,Angola
2014/01/18,Congo,Tunisia,30,32,W,AfricanChampionship,2014,Algeria,Tunisia
2014/01/18,Guinea,Angola,14,44,W,AfricanChampionship,2014,Algeria,Angola
2014/01/21,Angola,Tunisia,25,19,W,AfricanChampionship,2014,Algeria,Angola
2014/01/21,Congo,Guinea,33,18,W,AfricanChampionship,2014,Algeria,Congo
2014/01/22,Algeria,Guinea,25,17,W,AfricanChampionship,2014,Algeria,Algeria
2014/01/22,DR Congo,Congo,27,22,W,AfricanChampionship,2014,Algeria,DR Congo
2014/01/22,Angola,Cameroon,28,23,W,AfricanChampionship,2014,Algeria,Angola
2014/01/22,Tunisia,Senegal,31,27,W,AfricanChampionship,2014,Algeria,Tunisia
2014/01/23,Senegal,Cameroon,25,21,W,AfricanChampionship,2014,Algeria,Senegal
2014/01/23,Guinea,Congo,19,40,W,AfricanChampionship,2014,Algeria,Congo
2014/01/24,Angola,Tunisia,30,31,W,AfricanChampionship,2014,Algeria,Tunisia
2014/01/24,Algeria,DR Congo,23,28,W,AfricanChampionship,2014,Algeria,DR Congo
2014/01/24,Guinea,Cameroon,18,42,W,AfricanChampionship,2014,Algeria,Cameroon
2014/01/24,Congo,Senegal,30,29,W,AfricanChampionship,2014,Algeria,Congo
2014/01/25,Algeria,Angola,22,30,W,AfricanChampionship,2014,Algeria,Angola
2014/01/25,DR Congo,Tunisia,20,23,W,AfricanChampionship,2014,Algeria,Tunisia
2016/11/28,DR Congo,Senegal,22,28,W,AfricanChampionship,2016,Angola,Senegal
2016/11/28,Angola,Ivory Coast,37,18,W,AfricanChampionship,2016,Angola,Angola
2016/11/29,Ivory Coast,Cameroon,17,22,W,AfricanChampionship,2016,Angola,Cameroon
2016/11/29,Senegal,Angola,18,31,W,AfricanChampionship,2016,Angola,Angola
2016/11/30,Ivory Coast,DR Congo,33,27,W,AfricanChampionship,2016,Angola,Ivory Coast
2016/11/30,Cameroon,Angola,14,30,W,AfricanChampionship,2016,Angola,Angola
2016/12/01,DR Congo,Cameroon,24,26,W,AfricanChampionship,2016,Angola,Cameroon
2016/12/01,Senegal,Ivory Coast,24,17,W,AfricanChampionship,2016,Angola,Senegal
2016/12/02,Angola,DR Congo,38,19,W,AfricanChampionship,2016,Angola,Angola
2016/11/28,Tunisia,Guinea,34,22,W,AfricanChampionship,2016,Angola,Tunisia
2016/11/29,Algeria,Congo,19,25,W,AfricanChampionship,2016,Angola,Congo
2016/11/30,Congo,Tunisia,25,26,W,AfricanChampionship,2016,Angola,Tunisia
2016/12/01,Guinea,Algeria,24,17,W,AfricanChampionship,2016,Angola,Guinea
2016/12/02,Congo,Guinea,33,18,W,AfricanChampionship,2016,Angola,Congo
2016/12/02,Tunisia,Algeria,27,21,W,AfricanChampionship,2016,Angola,Tunisia
2016/12/04,Ivory Coast,Tunisia,26,38,W,AfricanChampionship,2016,Angola,Tunisia
2016/12/04,Cameroon,Congo,32,27,W,AfricanChampionship,2016,Angola,Cameroon
2016/12/04,Senegal,Guinea,27,15,W,AfricanChampionship,2016,Angola,Senegal
2016/12/04,Angola,Algeria,42,19,W,AfricanChampionship,2016,Angola,Angola
2016/12/05,Algeria,Congo,27,31,W,AfricanChampionship,2016,Angola,Congo
2016/12/05,Guinea,Ivory Coast,20,23,W,AfricanChampionship,2016,Angola,Ivory Coast
2016/12/05,Senegal,Tunisia,26,20,W,AfricanChampionship,2016,Angola,Senegal
2016/12/05,Angola,Cameroon,31,19,W,AfricanChampionship,2016,Angola,Angola
2016/12/06,Algeria,Guinea,33,26,W,AfricanChampionship,2016,Angola,Algeria
2016/12/06,Congo,Ivory Coast,32,24,W,AfricanChampionship,2016,Angola,Congo
2016/12/07,Angola,Tunisia,36,17,W,AfricanChampionship,2016,Angola,Angola
2018/12/02,Senegal,Cameroon,23,18,W,AfricanChampionship,2018,Congo,Senegal
2018/12/02,Algeria,Ivory Coast,27,25,W,AfricanChampionship,2018,Congo,Algeria
2018/12/03,Tunisia,Senegal,21,26,W,AfricanChampionship,2018,Congo,Senegal
2018/12/03,Cameroon,Algeria,32,18,W,AfricanChampionship,2018,Congo,Cameroon
2018/12/04,Cameroon,Ivory Coast,34,25,W,AfricanChampionship,2018,Congo,Cameroon
2018/12/04,Algeria,Tunisia,24,24,W,AfricanChampionship,2018,Congo,Draw
2018/12/06,Senegal,Algeria,35,22,W,AfricanChampionship,2018,Congo,Senegal
2018/12/06,Ivory Coast,Tunisia,28,35,W,AfricanChampionship,2018,Congo,Tunisia
2018/12/07,Ivory Coast,Senegal,22,32,W,AfricanChampionship,2018,Congo,Senegal
2018/12/07,Tunisia,Cameroon,25,25,W,AfricanChampionship,2018,Congo,Draw
2018/12/02,Angola,Guinea,40,17,W,AfricanChampionship,2018,Congo,Angola
2018/12/02,Congo,Morocco,36,23,W,AfricanChampionship,2018,Congo,Congo
2018/12/03,Morocco,DR Congo,23,35,W,AfricanChampionship,2018,Congo,DR Congo
2018/12/03,Guinea,Congo,20,37,W,AfricanChampionship,2018,Congo,Congo
2018/12/04,Morocco,Angola,14,50,W,AfricanChampionship,2018,Congo,Angola
2018/12/04,Congo,DR Congo,29,29,W,AfricanChampionship,2018,Congo,Draw
2018/12/06,Guinea,Morocco,42,22,W,AfricanChampionship,2018,Congo,Guinea
2018/12/06,DR Congo,Angola,24,33,W,AfricanChampionship,2018,Congo,Angola
2018/12/07,DR Congo,Guinea,35,18,W,AfricanChampionship,2018,Congo,DR Congo
2018/12/07,Angola,Congo,32,19,W,AfricanChampionship,2018,Congo,Angola
2018/12/09,Senegal,Guinea,23,16,W,AfricanChampionship,2018,Congo,Senegal
2018/12/09,DR Congo,Tunisia,37,30,W,AfricanChampionship,2018,Congo,DR Congo
2018/12/09,Algeria,Angola,17,41,W,AfricanChampionship,2018,Congo,Angola
2018/12/09,Cameroon,Congo,22,21,W,AfricanChampionship,2018,Congo,Cameroon
2018/12/10,Guinea,Tunisia,26,30,W,AfricanChampionship,2018,Congo,Tunisia
2018/12/10,Congo,Algeria,24,22,W,AfricanChampionship,2018,Congo,Congo
2018/12/10,Senegal,DR Congo,22,21,W,AfricanChampionship,2018,Congo,Senegal
2018/12/10,Cameroon,Angola,16,25,W,AfricanChampionship,2018,Congo,Angola
2018/12/10,Ivory Coast,Morocco,38,31,W,AfricanChampionship,2018,Congo,Ivory Coast
2018/12/11,Guinea,Algeria,34,22,W,AfricanChampionship,2018,Congo,Guinea
2018/12/11,Tunisia,Congo,23,31,W,AfricanChampionship,2018,Congo,Congo
2018/12/12,DR Congo,Cameroon,33,22,W,AfricanChampionship,2018,Congo,DR Congo
2018/12/12,Senegal,Angola,14,19,W,AfricanChampionship,2018,Congo,Angola
2021/06/09,Senegal,Madagascar,42,16,W,AfricanChampionship,2021,Cameroon,Senegal
2021/06/09,Tunisia,Guinea,30,27,W,AfricanChampionship,2021,Cameroon,Tunisia
